idx,text,emotion,gold,pred_binaire,pred_proba,type_divergence,axe_pragmatique,type_erreur,qui_a_raison,justification
7,mais assumer vous degouter bande de crasseuse,Dégoût,1,0,0.0283,faux_negatif,provoquee,lexical_argot,gold,"Le verbe 'dégoûter' en argot adolescent (ici orthographié 'degouter') est un marqueur fort de dégoût provoqué/exprimé envers la cible, renforcé par l'insulte 'crasseuse' (connotation de saleté/répulsion physique et morale) ; le modèle n'a vraisemblablement pas capturé cette valeur émotionnelle en raison de la graphie non standard et du registre argotique, produisant une proba ridiculement basse (0.0283) très loin du seuil."
10,grosse crasseuse,Colère,1,0,0.0231,faux_negatif,provoquee,lexical_argot,gold,"L'insulte 'grosse crasseuse' est une attaque directe typique du cyber-harcèlement, exprimant une colère agressive de l'énonciateur envers la cible. Le modèle échoue à reconnaître la charge émotionnelle hostile de cette formule injurieuse, probablement parce que 'crasseuse' est un terme argotique/familier sous-représenté dans l'entraînement."
10,grosse crasseuse,Dégoût,1,0,0.0066,faux_negatif,provoquee,lexical_argot,gold,"'Crasseuse' (sale, répugnante) est sémantiquement un marqueur de dégoût physique/moral par excellence, renforcé par le contexte suivant 'vous me dégoutez'. Le modèle rate complètement cette dimension, ce qui trahit une incapacité à traiter le lexique injurieux familier adolescent comme vecteur d'émotion."
11,grave abuser vous me degoutez,Colère,1,0,0.2688,faux_negatif,ressentie,seuil_limite,gold,"La proba de 0.2688 est extrêmement proche du seuil de 0.2822 (écart de 0.0134), ce qui en fait un cas limite pur. L'expression 'grave abuser vous me' traduit pourtant une colère franche et directe, amplifiée par le contexte d'insulte ('grosse crasseuse') et la défense véhémente dans le message suivant."
11,grave abuser vous me degoutez,Dégoût,1,0,0.0394,faux_negatif,ressentie,lexical_argot,gold,"Le verbe 'dégoûter' en argot adolescent (ici 'vous me degoutez') exprime une répulsion morale intense et sincère, mais le modèle semble l'avoir sous-pondéré, probablement en raison de la graphie sans accent ('degoutez') et de l'usage argotique qui brouille le signal lexical attendu. La proba de 0.0394 est très éloignée du seuil, indiquant une incompréhension profonde du terme dans ce registre."
13,mais assume grosse pute,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"L'insulte directe 'grosse pute' combinée à l'injonction agressive 'assume' exprime une colère manifeste de l'énonciateur. Le modèle échoue à reconnaître la charge émotionnelle de cette insulte argotique, produisant une probabilité nulle révélatrice d'un échec de tokenisation ou de représentation sémantique de ce registre vulgaire adolescent."
13,mais assume grosse pute,Dégoût,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"L'insulte 'grosse pute' vise à provoquer honte et dégoût chez la cible, et traduit simultanément le mépris (dégoût moral) de l'énonciateur envers elle. Le modèle, incapable de traiter ce lexique injurieux vulgaire, rate totalement cette dimension affective pourtant centrale dans la dynamique de harcèlement."
14,wshhh elodie dit leur on a vu leur sal photo,Dégoût,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"Le terme 'sal' (abréviation argotique de 'sale/salope') associé à 'photo' constitue un marqueur de dégoût provoqué envers la cible Elodie, mais le tokenizer de CamemBERT ne reconnaît pas cette forme tronquée et la proba effondrée à 0.0000 trahit une incompréhension lexicale totale du message. Le contexte suivant confirme qu'il s'agit de photos intimes diffusées sans consentement, ce qui ancre pragmatiquement le dégoût comme émotion provoquée chez la victime."
15," tu m'étonnes que vous l'avez vue,  c'est vous qu'il l'avez prises connasses",Colère,1,0,0.0646,faux_negatif,ressentie,pragmatic_confusion,gold,"L'accusation directe ('c'est vous qu'il l'avez prises connasses') avec l'insulte 'connasses' exprime une colère ressentie et frontale de l'énonciateur envers ses interlocutrices. Le modèle a vraisemblablement été parasité par la structure syntaxique pseudo-exclamative ('tu m'étonnes') qu'il a traitée comme marqueur de surprise, occultant totalement la charge agressive et accusatoire du message."
15," tu m'étonnes que vous l'avez vue,  c'est vous qu'il l'avez prises connasses",Surprise,0,1,0.9965,faux_positif,absent,ironie_polarity,gold,"L'expression 'tu m'étonnes' est ici un marqueur d'ironie figée en argot adolescent signifiant exactement le contraire de la surprise : 'évidemment / bien sûr que si'. Le modèle a interprété littéralement le verbe 'étonner' comme déclencheur de Surprise, sans détecter la négation sémantique portée par cette locution ironique conventionnalisée."
16,ftg grosse salope,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"« ftg » (fils de pute / ferme ta gueule selon les usages) est un marqueur d'insulte agressive typique de l'argot adolescent en ligne, porteur d'une colère intense que CamemBERT ne reconnaît pas faute de représentation de cet acronyme dans son vocabulaire. La probabilité à 0.0000 trahit un échec total de tokenisation/représentation sémantique, non une incertitude."
16,ftg grosse salope,Dégoût,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"« grosse salope » est une insulte à forte charge de dégoût moral et corporel, mais combinée à « ftg » — acronyme opaque pour le modèle — l'ensemble du message est vraisemblablement mal encodé, neutralisant toute activation émotionnelle. Le dégoût est pourtant pragmatiquement évident dans l'acte de langage insultant."
17,tu sais dire d'autres choses à part ça ?,Colère,1,0,0.0,faux_negatif,ressentie,ironie_polarity,gold,"La phrase est une question rhétorique ironique exprimant une colère contenue face à l'insulte du message précédent ('ftg grosse salope') : l'énonciateur ne demande pas réellement une information, il signifie son mépris et son agacement. Le modèle, incapable de décoder la valence émotionnelle négative encodée dans cette forme interrogative indirecte, produit une probabilité nulle, révélant un échec total à traiter l'ironie pragmatique."
19,ça se fait pas en plus de prendre en photos,Colère,1,0,0.0,faux_negatif,ressentie,contexte_manquant,gold,"La phrase 'ça se fait pas en plus de prendre en photos' exprime une indignation morale (colère normative) face à un acte jugé inacceptable — photographier quelqu'un sans consentement — ce qui est un marqueur clair de colère ressentie. Le modèle, avec une probabilité à 0.0000, échoue totalement à capter cette charge émotionnelle, probablement parce que la construction impersonnelle et elliptique ('ça se fait pas') masque le sujet émotionnel et nécessite le contexte pour être interprétée comme une réaction indignée."
20,mais cest des gouines,Dégoût,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"Le terme homophobe 'gouines', utilisé ici comme insulte déshumanisante dans un contexte de harcèlement explicite (renforcé par le contexte suivant 'salope'), exprime et provoque un dégoût moral envers les personnes visées. Le modèle, incapable de traiter la charge péjorative de ce lexique argotique/injurieux, produit une probabilité quasi nulle, ratant totalement la dimension émotionnelle de l'énoncé."
21,et toi tu sais que la vie c'est homme femme pas femme femme salope,Colère,1,0,0.0,faux_negatif,provoquee,pragmatic_confusion,gold,"La phrase est un énoncé normatif-agressif ('tu sais que la vie c'est homme femme') qui exprime une colère provoquée visant à imposer une norme hétérosexiste à la cible ; le modèle échoue à détecter l'affect agressif sous-jacent à cette structure assertive moralisatrice. La proba quasi-nulle (0.0000) indique un effondrement total de la représentation émotionnelle, probablement dû à l'absence de marqueurs lexicaux prototypiques de colère dans les données d'entraînement pour ce type de discours normatif."
21,et toi tu sais que la vie c'est homme femme pas femme femme salope,Dégoût,1,0,0.0,faux_negatif,provoquee,pragmatic_confusion,gold,"L'insulte finale 'salope' combinée au rejet implicite de la relation femme-femme comme contre-nature constitue une expression de dégoût moral projeté sur la cible, visant à la souiller symboliquement ; le modèle ne parvient pas à lier la structure rhétorique normative ('pas femme femme') à l'émotion de dégoût, qui ici n'est pas lexicalement explicite mais pragmatiquement construite."
23,assume c pas compliquer,Dégoût,1,0,0.0,faux_negatif,provoquee,contexte_manquant,gold,"La phrase 'assume c pas compliquer' est une injonction méprisante qui, replacée dans le contexte ('bande de gouines' suit immédiatement), vise à provoquer honte et dégoût envers une orientation sexuelle supposée ; le modèle, face à un énoncé syntaxiquement neutre et dépourvu de marqueurs lexicaux de dégoût, ne peut inférer cette charge émotionnelle sans le contexte entourant. La proba quasi-nulle (0.0000) confirme que le signal textuel intrinsèque est insuffisant pour déclencher la détection, rendant le contexte indispensable."
24,bande de gouines,Colère,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"L'insulte homophobe 'gouines' est une attaque directe visant à blesser et humilier, portant une charge de colère agressive de l'énonciateur envers la cible. Le modèle, incapable de traiter ce terme injurieux argotique dans son contexte de harcèlement, produit une probabilité nulle révélatrice d'un échec de tokenisation ou de représentation sémantique."
24,bande de gouines,Dégoût,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"L'emploi de 'gouines' comme insulte homophobe exprime un dégoût ostensible envers l'orientation sexuelle supposée des cibles, cherchant à les stigmatiser. La probabilité à 0.0000 confirme que le modèle n'a pas su extraire la valence émotionnelle négative intense de ce terme argotique injurieux."
25,la réconforter et la galoche après,Dégoût,1,0,0.0,faux_negatif,provoquee,contexte_manquant,gold,"La phrase, insérée entre deux insultes homophobes ('bande de gouines', 'bande de crasseuse'), constitue une moquerie sexualisée visant à provoquer du dégoût chez la cible ou les témoins. Sans ce contexte d'encadrement homophobe, le modèle ne peut pas inférer la charge émotionnelle dégradante de l'énoncé."
25,la réconforter et la galoche après,Joie,1,0,0.0,faux_negatif,ressentie,pragmatic_confusion,indecidable,"L'annotation gold=1 pour Joie semble interpréter une jubilation malveillante (schadenfreude/plaisir du harceleur) dans cet énoncé moqueur, ce qui est pragmatiquement défendable mais difficile à distinguer du simple registre vulgaire sans marqueur lexical explicite de joie. L'annotation humaine est plausible mais contestable, le modèle ne détectant aucun signal lexical ou prosodique de joie."
26,bande de crasseuse,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"L'insulte collective 'bande de crasseuse' est un marqueur direct de colère ressentie et exprimée par l'énonciateur. Le modèle échoue à reconnaître la charge émotionnelle agressive de ce terme argotique injurieux, produisant une probabilité nulle révélatrice d'un échec de tokenisation ou de représentation sémantique."
26,bande de crasseuse,Dégoût,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"Le terme 'crasseuse' (de 'crasse', saleté physique et morale) porte sémantiquement une valeur de dégoût intense envers la cible, cohérente avec le contexte sexualisé du message précédent. Le modèle ne parvient pas à activer cette dimension émotionnelle, vraisemblablement parce que 'crasseuse' dans cet usage argotique adolescent n'est pas représenté dans ses données d'entraînement."
27,taimes les filles,Admiration,0,1,0.9995,faux_positif,absent,ironie_polarity,gold,"La phrase 'taimes les filles' est une insinuation homophobe sarcastique dans un contexte de harcèlement ('bande de crasseuse'), non une admiration sincère. Le modèle a interprété la surface lexicale du verbe 'aimer' comme un marqueur d'admiration, ignorant totalement la polarité négative et l'usage offensif du contexte."
27,taimes les filles,Dégoût,1,0,0.0001,faux_negatif,provoquee,ironie_polarity,gold,"L'insinuation homophobe vise à provoquer du dégoût et de la honte chez la cible, dans une dynamique de harcèlement clairement établie par le contexte. Le modèle, aveuglé par la lecture littérale positive de 'taimes', n'a pas détecté la charge émotionnelle négative sous-jacente portée par cette attaque déguisée."
28," y'a rien à assumer,  puisqu'y a r",Colère,0,1,0.9971,faux_positif,absent,contexte_manquant,indecidable,"La phrase est tronquée (« puisqu'y a r »), ce qui prive le modèle de la fin de l'énoncé et rend toute inférence émotionnelle fiable impossible ; le modèle a probablement activé un signal de colère sur la structure assertive-défensive (« y'a rien à assumer ») sans pouvoir lire la suite. L'annotation gold=0 est plausible si l'énoncé complet est neutre/défensif, mais l'indécidabilité reste totale en l'état."
29,burk sa me degoute,Dégoût,1,0,0.0174,faux_negatif,ressentie,lexical_argot,gold,"L'interjection onomatopéique 'burk' (variante de 'beurk') est un marqueur lexical prototypique du dégoût en argot adolescent, vraisemblablement absent ou sous-représenté dans le vocabulaire de CamemBERT. Le verbe 'dégoûte' confirme pourtant explicitement l'émotion, mais la graphie non standard 'degoute' (sans accent, sans majuscule) combinée à 'burk' a probablement désambiguïsé le signal vers la tristesse."
29,burk sa me degoute,Tristesse,0,1,0.736,faux_positif,absent,lexical_argot,gold,"Le modèle a probablement activé un schéma de tristesse en réponse à la graphie dégradée et au registre émotionnel négatif du message, sans identifier que 'burk' + 'dégoûte' signalent exclusivement du dégoût et non de la tristesse. Aucun marqueur de tristesse n'est présent dans le texte."
30,mellez-vous de votre cul,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"L'expression « mêlez-vous de votre cul » est une injonction agressive typique de l'argot adolescent signifiant « occupez-vous de vos affaires », porteuse d'une colère ressentie évidente. Le modèle, avec une probabilité à 0.0000, a manifestement échoué à traiter cette construction argotique comme un marqueur d'hostilité/colère, probablement faute d'exposition suffisante à ce type de formulation dans ses données d'entraînement."
31,assume que t'aime les filles c tout connasse,Admiration,0,1,0.9991,faux_positif,absent,lexical_argot,gold,"Le modèle confond vraisemblablement le verbe 'aimer' (présent dans 'assume que t'aime les filles') avec une expression d'admiration ou d'affect positif, alors qu'il s'agit ici d'une injonction agressive à assumer une orientation sexuelle. Le contexte injurieux ('connasse') et la structure impérative excluent toute admiration."
31,assume que t'aime les filles c tout connasse,Dégoût,1,0,0.0009,faux_negatif,provoquee,pragmatic_confusion,gold,"Le message cherche à stigmatiser l'orientation sexuelle de la cible via une injonction méprisante ('assume') couplée à l'insulte 'connasse', ce qui constitue une expression de dégoût provoqué/projeté sur la cible. Le modèle échoue à détecter le dégoût car il est encodé pragmatiquement dans l'acte de harcèlement et non lexicalement explicite."
32,elle etait juste en train de la rassurer cest rien,Admiration,0,1,0.9986,faux_positif,absent,pragmatic_confusion,gold,"Le modèle confond vraisemblablement la structure défensive et minimisante ('elle etait juste en train de la rassurer c'est rien') avec un énoncé valorisant ou admiratif, alors qu'il s'agit d'une tentative de dédramatiser/défendre une action dans un contexte de harcèlement — aucune admiration n'est ressentie, provoquée ni thématisée. Le contexte entourant (insultes vulgaires) confirme que l'énonciateur cherche à neutraliser une accusation, non à exprimer de l'admiration."
33,cul de crasseuse,Colère,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"L'insulte brute 'cul de crasseuse', renforcée par le contexte suivant 'grosse chienne', est un acte d'agression verbale typique exprimant une colère dirigée vers la cible. Le modèle, avec une probabilité à 0.0000, n'a manifestement pas reconnu la charge émotionnelle de ce syntagme injurieux argotique, probablement absent ou sous-représenté dans ses données d'entraînement."
33,cul de crasseuse,Dégoût,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"Le terme 'crasseuse' (évoquant la saleté, la souillure physique et morale) est un marqueur lexical fort de dégoût projeté sur la cible, visant à la dévaloriser et à lui faire ressentir honte et répulsion. La probabilité nulle indique un échec total du modèle à traiter ce vocabulaire injurieux argotique comme porteur d'une sémantique émotionnelle de dégoût."
34,on fait ce qu'on veut grosse chienne,Colère,1,0,0.0003,faux_negatif,ressentie,lexical_argot,gold,"L'insulte directe 'grosse chienne' dans un contexte de harcèlement exprime une colère manifeste de l'énonciateur, mais le modèle échoue à reconnaître la charge émotionnelle agressive de cet argot injurieux. La proba de 0.0003 est catastrophiquement basse, indiquant que le tokenizer/modèle ne traite pas ces termes comme des marqueurs de colère."
34,on fait ce qu'on veut grosse chienne,Dégoût,1,0,0.0001,faux_negatif,provoquee,lexical_argot,gold,"Le terme 'grosse chienne', associé au contexte 'crasseuse', véhicule un dégoût explicitement provoqué chez la cible via la déshumanisation et la saleté implicite, mais le modèle ne capte pas la valence de mépris/dégoût de ces insultes argotiques adolescentes."
34,on fait ce qu'on veut grosse chienne,Admiration,0,1,0.9995,faux_positif,absent,pragmatic_confusion,gold,"Le score d'admiration à 0.9995 est une erreur grave et inexplicable : aucun élément du texte ne relève de l'admiration, ce qui suggère une confusion profonde du modèle, probablement due à une représentation vectorielle aberrante des insultes argotiques qui les associe à tort à des expressions d'enthousiasme ou d'intensité positive."
35,tg saloppe,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"« tg » (ta gueule) est une injonction au silence chargée d'hostilité, et « saloppe » une insulte directe : ensemble, ils signalent une colère ressentie évidente que le modèle n'a pas su détecter, vraisemblablement parce que ces formes argotiques/orthographiques non standard sont absentes ou sous-représentées dans ses données d'entraînement. La probabilité à 0.0000 indique un échec total de représentation sémantique, pas un simple problème de seuil."
36,marie tg,Colère,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"L'expression 'tg' (abréviation argotique de 'ta gueule') est un ordre agressif et méprisant qui exprime une colère dirigée vers la cible 'marie', mais le modèle, incapable de traiter cet acronyme argotique, produit une probabilité nulle sur l'ensemble des émotions. La proba à 0.0000 sur toutes les classes révèle un effondrement total de la représentation vectorielle du message, vraisemblablement dû à une tokenisation défaillante de 'tg' et à la brièveté extrême du texte."
37,grosse pute va,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"L'insulte directe 'grosse pute va' est un marqueur prototypique de colère exprimée, renforcée par le contexte immédiat ('marie tg', 'saloperie'). Le score de 0.0000 trahit une défaillance totale du modèle face à ce registre injurieux argotique, probablement absent ou sous-représenté dans les données d'entraînement."
37,grosse pute va,Dégoût,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"Le terme 'pute' associé à 'saloperie' dans le contexte suivant encode un dégoût moral intense envers la cible, émotion co-présente avec la colère dans ce type d'insulte dégradante. Le modèle échoue à capturer la charge sémantique péjorative de ce lexique injurieux adolescent."
38,saloperie,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"Le terme 'saloperie', insulte brute et isolée, exprime une colère intense de l'énonciateur, renforcée par le contexte d'attaque verbale ('grosse pute va'). Le modèle, face à un token unique sans structure syntaxique, échoue à activer le signal émotionnel pourtant évident."
38,saloperie,Dégoût,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"'Saloperie' porte sémantiquement une dimension de dégoût (saleté, abjection morale) qui co-existe avec la colère dans ce registre d'insulte adolescente. Le modèle, incapable de traiter ce mot isolé comme vecteur d'affect, produit une probabilité nulle sur l'ensemble des émotions, révélant une défaillance totale de représentation contextuelle."
39,on dit que la vérité grosse pute,Colère,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"La formule 'on dit que la vérité grosse pute' est une expression argotique adolescente signifiant 'la vérité fait mal / blesse', utilisée ici comme attaque directe chargée de colère provoquée. Le modèle, incapable de parser cette construction syntaxiquement atypique et lexicalement vulgaire, produit une probabilité nulle, ratant totalement la charge émotionnelle agressive du message."
39,on dit que la vérité grosse pute,Dégoût,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,L'insulte 'grosse pute' dans ce contexte de harcèlement homophobe (confirmé par le contexte suivant sur les lesbiennes) véhicule un dégoût ostensiblement projeté sur la cible. La probabilité à 0.0000 trahit un échec total du modèle à traiter cette construction argotique syntaxiquement brisée comme porteuse d'affect négatif intense.
40,chienne que tes ont aimes pas les lesbienne ici,Colère,1,0,0.0005,faux_negatif,ressentie,lexical_argot,gold,L'insulte 'chienne' et l'énoncé homophobe ('aimes pas les lesbienne') expriment une colère ressentie et dirigée contre une cible. Le modèle échoue à reconnaître la charge émotionnelle agressive portée par ces termes injurieux argotiques/vulgaires.
40,chienne que tes ont aimes pas les lesbienne ici,Dégoût,1,0,0.0001,faux_negatif,ressentie,lexical_argot,gold,L'expression d'une aversion explicite envers les lesbiennes ('aimes pas les lesbienne') et le contexte immédiat ('grosse crasseuse') signalent un dégoût sincèrement ressenti. Le modèle ne parvient pas à interpréter ces marqueurs discursifs de répulsion dans un registre argotique adolescent.
40,chienne que tes ont aimes pas les lesbienne ici,Admiration,0,1,0.9994,faux_positif,absent,pragmatic_confusion,gold,"Le score d'admiration à 0.9994 est une erreur catastrophique : le modèle confond vraisemblablement la structure syntaxique déformée ('tes ont aimes') ou certains tokens avec un signal d'approbation/admiration, alors que le message est intégralement hostile et homophobe. Aucune admiration n'est présente, ressentie, provoquée ni thématisée."
41,bref venais on les vire de la classe c'est grosse crasseuse,Dégoût,1,0,0.0724,faux_negatif,provoquee,seuil_limite,gold,"L'insulte 'grosse crasseuse' est un marqueur lexical de dégoût provoqué envers la cible (connotation de saleté/répulsion physique), mais la proba de 0.0724 reste très en dessous du seuil de 0.1927, indiquant que le modèle sous-pondère fortement ce signal pourtant explicite. La colère dominante (0.7618) a vraisemblablement capté l'essentiel du signal émotionnel, écrasant le dégoût co-présent dans l'énoncé."
42,qui les supp du groupe la,Colère,1,0,0.0,faux_negatif,ressentie,contexte_manquant,gold,"La phrase 'qui les supp du groupe la' est une question rhétorique incitative qui exprime une colère ressentie envers les cibles (renforcée par le contexte 'grosse crasseuse'), mais sa forme interrogative neutre et l'abréviation 'supp' privent le modèle des marqueurs lexicaux et prosodiques nécessaires pour inférer cette émotion sans contexte. La proba à 0.0000 révèle une défaillance totale du modèle, incapable de mobiliser le contexte adjacent pourtant décisif."
43,je vais les supprimer,Colère,1,0,0.0,faux_negatif,ressentie,contexte_manquant,gold,"La phrase 'je vais les supprimer' est syntaxiquement neutre et ne porte aucun marqueur émotionnel intrinsèque ; c'est uniquement le contexte conversationnel (exclusion délibérée d'un membre du groupe, 'on veut pas de sa ici') qui révèle une colère sous-jacente motivant l'acte. Le modèle, incapable d'intégrer cette dynamique pragmatique inter-tours, produit une probabilité quasi nulle, confirmant une défaillance par manque de contexte exploitable."
44,on veut pas de sa ici,Dégoût,1,0,0.0008,faux_negatif,ressentie,contexte_manquant,gold,"La phrase isolée 'on veut pas de sa ici' exprime un rejet social mais le dégoût n'est pleinement lisible qu'en conjonction avec le contexte suivant 'grave pas de crasseuse', terme insultant à forte charge de dégoût physique/social que le modèle n'intègre pas. Sans ce contexte aval, le signal lexical du dégoût est quasi absent dans la phrase cible, ce qui explique la proba effondrée à 0.0008."
45,grave pas de crasseuse,Dégoût,1,0,0.0,faux_negatif,provoquee,lexical_argot,gold,"Le terme 'crasseuse' est une insulte à forte charge de dégoût (saleté, mépris physique/social) typique de l'argot adolescent, que le modèle n'a manifestement pas su interpréter comme vecteur émotionnel, d'où une probabilité quasi nulle. L'énonciateur cherche à provoquer du dégoût/mépris envers la cible désignée, en renforçant l'exclusion exprimée dans le message précédent."
46,enfiiin,Joie,1,0,0.0,faux_negatif,ressentie,contexte_manquant,indecidable,"« Enfiiin » (allongement expressif de 'enfin') peut exprimer un soulagement teinté de joie, mais sans contexte suffisant cette lecture reste fragile ; le contexte suivant 'me dégoûte' oriente plutôt vers une tonalité négative, rendant l'annotation gold de Joie discutable. La proba à 0.0000 indique que le modèle n'a capté aucun signal émotionnel, ce qui s'explique par la brièveté du token et l'absence de marqueurs lexicaux clairs."
47,me degoute,Dégoût,1,0,0.0057,faux_negatif,ressentie,lexical_argot,gold,"« Me dégoûte » est une expression argotique adolescente exprimant un dégoût sincère et intense (souvent envers soi-même ou une situation), renforcée par le contexte suivant « burk bande de chienne » qui confirme l'émotion de dégoût. Le modèle, avec une proba de 0.0057, n'a manifestement pas reconnu cette construction elliptique et argotique comme vecteur de dégoût, lui préférant à tort Tristesse (0.5786)."
48,burk bande de chienne,Colère,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"L'interjection 'burk' et l'insulte 'bande de chienne' sont des marqueurs clairs de colère ressentie et exprimée, mais le modèle échoue à les interpréter comme tels, probablement en raison de leur nature argotique et de l'absence de traitement sémantique de l'insulte collective. La probabilité à 0.0000 trahit un effondrement total de la représentation vectorielle de la phrase."
48,burk bande de chienne,Dégoût,1,0,0.0,faux_negatif,ressentie,lexical_argot,gold,"'Burk' est une onomatopée de dégoût physique/moral extrêmement conventionnelle dans le registre adolescent, et 'chienne' renforce la répulsion morale envers les cibles ; le modèle ne reconnaît manifestement pas 'burk' comme signal émotionnel de dégoût, ce qui constitue une défaillance lexicale directe."
